Modified on,Product code,Bid,Ask,Mid price,Currency
2024-05-24T08:52:30+02:00,GO WIND EU 2025,1.85,2.00,1.93,EUR
2024-05-27T08:43:58+02:00,GO WIND EU 2025,1.85,2.00,1.93,EUR
2024-05-27T11:01:02+02:00,GO WIND EU 2025,1.80,2.00,1.90,EUR
2024-05-27T11:01:54+02:00,GO WIND EU 2025,1.80,1.95,1.88,EUR
2024-05-28T08:21:57+02:00,GO WIND EU 2025,1.80,1.95,1.88,EUR
2024-05-29T08:41:42+02:00,GO WIND EU 2025,1.80,1.95,1.88,EUR
2024-05-29T09:08:44+02:00,GO WIND EU 2025,1.70,1.85,1.78,EUR
2024-05-29T09:12:02+02:00,GO WIND EU 2025,1.70,1.90,1.80,EUR
2024-05-29T15:47:06+02:00,GO WIND EU 2025,1.70,1.85,1.78,EUR
2024-05-30T08:13:18+02:00,GO WIND EU 2025,1.70,1.85,1.78,EUR
2024-05-30T08:14:11+02:00,GO WIND EU 2025,1.70,1.85,1.78,EUR
2024-05-31T08:09:31+02:00,GO WIND EU 2025,1.70,1.85,1.78,EUR
2024-05-31T08:10:29+02:00,GO WIND EU 2025,1.70,1.85,1.78,EUR
2024-06-03T08:49:48+02:00,GO WIND EU 2025,1.70,1.85,1.78,EUR
2024-06-04T09:16:01+02:00,GO WIND EU 2025,1.70,1.85,1.78,EUR
2024-06-05T08:35:35+02:00,GO WIND EU 2025,1.70,1.85,1.78,EUR
2024-06-05T08:37:32+02:00,GO WIND EU 2025,1.70,1.85,1.78,EUR
2024-06-06T09:02:00+02:00,GO WIND EU 2025,1.70,1.85,1.78,EUR
2024-06-07T09:09:50+02:00,GO WIND EU 2025,1.70,1.85,1.78,EUR
2024-06-10T08:37:22+02:00,GO WIND EU 2025,1.70,1.85,1.78,EUR
2024-06-11T08:54:31+02:00,GO WIND EU 2025,1.70,1.85,1.78,EUR
2024-06-12T08:34:27+02:00,GO WIND EU 2025,1.70,1.90,1.80,EUR
2024-06-12T08:35:20+02:00,GO WIND EU 2025,1.75,1.90,1.83,EUR
2024-06-12T13:57:58+02:00,GO WIND EU 2025,1.80,1.90,1.85,EUR
2024-06-12T13:58:53+02:00,GO WIND EU 2025,1.80,1.95,1.88,EUR
2024-06-13T08:27:05+02:00,GO WIND EU 2025,1.80,1.95,1.88,EUR
2024-06-13T08:28:01+02:00,GO WIND EU 2025,1.80,1.95,1.88,EUR
2024-06-14T08:50:48+02:00,GO WIND EU 2025,1.80,1.95,1.88,EUR
2024-06-14T08:51:41+02:00,GO WIND EU 2025,1.80,1.95,1.88,EUR
2024-06-14T08:55:37+02:00,GO WIND EU 2025,1.80,2.00,1.90,EUR
2024-06-14T08:56:30+02:00,GO WIND EU 2025,1.85,2.00,1.93,EUR
2024-06-14T09:00:52+02:00,GO WIND EU 2025,1.95,2.10,2.03,EUR
2024-06-17T09:48:48+02:00,GO WIND EU 2025,1.95,2.10,2.03,EUR
2024-06-18T09:33:47+02:00,GO WIND EU 2025,1.95,2.10,2.03,EUR
2024-06-18T12:50:24+02:00,GO WIND EU 2025,1.95,2.15,2.05,EUR
2024-06-18T12:51:17+02:00,GO WIND EU 2025,2.00,2.15,2.08,EUR
2024-06-18T12:58:57+02:00,GO WIND EU 2025,2.05,2.15,2.10,EUR
2024-06-18T13:01:18+02:00,GO WIND EU 2025,2.15,2.15,2.15,EUR
2024-06-18T13:01:42+02:00,GO WIND EU 2025,2.15,2.25,2.20,EUR
2024-06-19T11:17:10+02:00,GO WIND EU 2025,2.15,2.25,2.20,EUR
2024-06-19T14:21:44+02:00,GO WIND EU 2025,2.10,2.25,2.17,EUR
2024-06-19T14:22:37+02:00,GO WIND EU 2025,2.10,2.25,2.17,EUR
2024-06-19T14:29:48+02:00,GO WIND EU 2025,2.00,2.15,2.08,EUR
2024-06-20T09:00:13+02:00,GO WIND EU 2025,2.00,2.15,2.08,EUR
2024-06-20T10:59:07+02:00,GO WIND EU 2025,2.10,2.25,2.17,EUR
2024-06-21T08:49:31+02:00,GO WIND EU 2025,2.10,2.25,2.17,EUR
2024-06-21T10:38:42+02:00,GO WIND EU 2025,2.20,2.25,2.23,EUR
2024-06-21T10:39:34+02:00,GO WIND EU 2025,2.20,2.30,2.25,EUR
2024-06-21T11:24:49+02:00,GO WIND EU 2025,2.30,2.40,2.35,EUR
2024-06-21T15:52:31+02:00,GO WIND EU 2025,2.35,2.40,2.38,EUR
2024-06-21T15:53:24+02:00,GO WIND EU 2025,2.35,2.45,2.40,EUR
2024-06-21T15:54:16+02:00,GO WIND EU 2025,2.35,2.45,2.40,EUR
2024-06-24T08:23:47+02:00,GO WIND EU 2025,2.35,2.45,2.40,EUR
2024-06-25T08:50:27+02:00,GO WIND EU 2025,2.35,2.45,2.40,EUR
2024-06-26T08:50:17+02:00,GO WIND EU 2025,2.35,2.45,2.40,EUR
2024-06-26T16:14:02+02:00,GO WIND EU 2025,2.45,2.55,2.50,EUR
2024-06-26T17:00:53+02:00,GO WIND EU 2025,2.40,2.55,2.47,EUR
2024-06-26T17:01:46+02:00,GO WIND EU 2025,2.40,2.50,2.45,EUR
2024-06-27T08:29:07+02:00,GO WIND EU 2025,2.40,2.50,2.45,EUR
2024-06-28T09:01:11+02:00,GO WIND EU 2025,2.40,2.50,2.45,EUR
2024-06-28T10:06:00+02:00,GO WIND EU 2025,2.35,2.50,2.42,EUR
2024-06-28T10:06:53+02:00,GO WIND EU 2025,2.35,2.45,2.40,EUR
2024-07-01T09:06:52+02:00,GO WIND EU 2025,2.35,2.45,2.40,EUR
2024-07-02T08:26:40+02:00,GO WIND EU 2025,2.35,2.45,2.40,EUR
2024-07-02T08:41:46+02:00,GO WIND EU 2025,2.20,2.45,2.33,EUR
2024-07-02T08:42:38+02:00,GO WIND EU 2025,2.20,2.40,2.30,EUR
2024-07-03T08:22:47+02:00,GO WIND EU 2025,2.20,2.40,2.30,EUR
2024-07-03T16:34:48+02:00,GO WIND EU 2025,2.10,2.40,2.25,EUR
2024-07-03T16:35:51+02:00,GO WIND EU 2025,2.10,2.20,2.15,EUR
2024-07-03T16:37:39+02:00,GO WIND EU 2025,1.90,2.00,1.95,EUR
2024-07-04T09:03:39+02:00,GO WIND EU 2025,1.90,2.00,1.95,EUR
2024-07-05T08:32:46+02:00,GO WIND EU 2025,1.90,2.00,1.95,EUR
2024-07-08T08:32:32+02:00,GO WIND EU 2025,1.90,2.00,1.95,EUR
2024-07-08T16:19:05+02:00,GO WIND EU 2025,2.05,2.15,2.10,EUR
2024-07-09T09:20:39+02:00,GO WIND EU 2025,2.05,2.15,2.10,EUR
2024-07-10T08:18:49+02:00,GO WIND EU 2025,2.05,2.15,2.10,EUR
2024-07-10T08:48:43+02:00,GO WIND EU 2025,2.10,2.20,2.15,EUR
2024-07-11T08:40:24+02:00,GO WIND EU 2025,2.10,2.20,2.15,EUR
2024-07-12T09:46:17+02:00,GO WIND EU 2025,2.10,2.20,2.15,EUR
2024-07-15T08:33:34+02:00,GO WIND EU 2025,2.10,2.20,2.15,EUR
2024-07-16T08:51:23+02:00,GO WIND EU 2025,2.10,2.20,2.15,EUR
2024-07-17T08:51:04+02:00,GO WIND EU 2025,2.10,2.20,2.15,EUR
2024-07-18T09:05:45+02:00,GO WIND EU 2025,2.10,2.20,2.15,EUR
2024-07-18T12:28:39+02:00,GO WIND EU 2025,2.20,2.30,2.25,EUR
2024-07-19T11:05:59+02:00,GO WIND EU 2025,2.20,2.30,2.25,EUR
2024-07-19T11:06:58+02:00,GO WIND EU 2025,2.20,2.30,2.25,EUR
2024-07-22T09:06:46+02:00,GO WIND EU 2025,2.20,2.30,2.25,EUR
2024-07-22T09:09:09+02:00,GO WIND EU 2025,2.20,2.30,2.25,EUR
2024-07-22T09:10:04+02:00,GO WIND EU 2025,2.20,2.30,2.25,EUR
2024-07-22T09:10:57+02:00,GO WIND EU 2025,2.20,2.30,2.25,EUR
2024-07-23T09:33:49+02:00,GO WIND EU 2025,2.20,2.30,2.25,EUR
2024-07-23T09:34:44+02:00,GO WIND EU 2025,2.20,2.30,2.25,EUR
2024-07-23T13:35:49+02:00,GO WIND EU 2025,2.30,2.40,2.35,EUR
2024-07-24T08:30:04+02:00,GO WIND EU 2025,2.30,2.40,2.35,EUR
2024-07-25T09:30:50+02:00,GO WIND EU 2025,2.30,2.40,2.35,EUR
2024-07-26T09:08:33+02:00,GO WIND EU 2025,2.30,2.40,2.35,EUR
2024-07-29T08:37:22+02:00,GO WIND EU 2025,2.30,2.40,2.35,EUR
2024-07-29T13:31:09+02:00,GO WIND EU 2025,2.35,2.40,2.38,EUR
2024-07-29T13:32:05+02:00,GO WIND EU 2025,2.35,2.45,2.40,EUR
2024-07-30T09:01:13+02:00,GO WIND EU 2025,2.35,2.45,2.40,EUR
2024-07-30T14:52:50+02:00,GO WIND EU 2025,2.30,2.40,2.35,EUR
2024-07-31T09:37:01+02:00,GO WIND EU 2025,2.30,2.40,2.35,EUR
