Modified on,return_cleaned
2023-08-11,-0.016260520871780537
2023-08-18,-0.05908891637000635
2023-08-25,-0.11995931507897906
2023-09-01,0.1286173778220936
2023-09-08,-0.01739174271186905
2023-09-15,-0.06336961393258944
2023-09-22,0.005591813265777956
2023-09-29,-0.07926853406515577
2023-10-06,-0.07736353661348816
2023-10-13,-0.07210329390134373
2023-10-20,-0.22139274841585688
2023-10-27,0.07577255847233033
2023-11-03,0.07043327504892027
2023-11-10,-0.005050515786068521
2023-11-17,-0.08448293063627133
2023-11-24,-0.07135693878183202
2023-12-01,0.06305813596713694
2023-12-08,-0.057158413839948574
2023-12-15,-0.07637297878457394
2023-12-22,0.015748356968139143
2023-12-29,-0.03174869831458027
2024-01-05,-0.10903024454678878
2024-01-12,-0.04512043528046972
2024-01-19,-0.26236426446749084
